courses_id,student_id,semester,grade,course_name,credits,departments_id,student_name,student_major,student_email,department_name,dep_building
81,2440,Spring 2024,A,Ethics and Computer Science and Artificial Intelligence,1,5,Jeremy Finley,CS,sergiowells@example.org,Mechanical and Aerospace Engineering,Malone Turnpike
196,1798,Spring 2024,F,Research in Environmental and Sustainability Studies,1,20,Matthew Moore,Physics,shawnjohnson@example.net,Environmental and Sustainability Studies,Brittany Mission
183,1698,Fall 2023,D,Principles of Medicine and Biomedical Research,3,16,Shannon Torres,CS,christinesmall@example.org,Medicine and Biomedical Research,Brenda Prairie
185,3633,Spring 2024,A,Applications of Marketing and Digital Strategy,4,13,Francis Williams,History,phillip25@example.com,Marketing and Digital Strategy,Robinson Island
154,1330,Fall 2023,D,Policy and Environmental and Sustainability Studies,2,20,Kevin Smith,CS,lovestephanie@example.com,Environmental and Sustainability Studies,Brittany Mission
114,335,Fall 2023,B,Advanced Medicine and Biomedical Research,2,16,Pedro Miller,Physics,edwardsgregory@example.org,Medicine and Biomedical Research,Brenda Prairie
84,2814,Spring 2024,C,Foundations of Entrepreneurship and Innovation,3,15,Carla Carter,Math,harrisonsamuel@example.org,Entrepreneurship and Innovation,David Dale
157,3528,Fall 2023,C,Introduction to Sociology and Anthropology,4,9,Jason Garner,CS,johnsondebra@example.org,Sociology and Anthropology,Cynthia Square
70,1662,Fall 2023,D,Fundamentals of Philosophy and Ethics,3,8,Christopher Roy,History,michaelthompson@example.com,Political Science and International Relations,Brown Mission
8,49,Fall 2023,D,Theories in Finance and Investment Studies,1,13,Christopher Cabrera,Math,alexanderthomas@example.org,Marketing and Digital Strategy,Robinson Island
136,2006,Fall 2023,A,Contemporary Issues in Mechanical and Aerospace Engineering,1,5,Erin Boone,Physics,mvance@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
11,2057,Fall 2023,D,Foundations of Mechanical and Aerospace Engineering,4,6,Joseph White,Physics,kathy44@example.com,History and Cultural Studies,Brittany Corners
47,969,Spring 2024,A,Ethics and Political Science and International Relations,4,9,Lisa Casey,Math,perezchristopher@example.net,Sociology and Anthropology,Cynthia Square
183,1729,Fall 2023,F,Principles of Medicine and Biomedical Research,3,16,Sarah Sparks,Physics,porteramber@example.com,Medicine and Biomedical Research,Brenda Prairie
44,4630,Spring 2024,A,Perspectives on Political Science and International Relations,3,9,Katherine Bryant,History,micheal62@example.net,Sociology and Anthropology,Cynthia Square
18,1012,Fall 2023,C,Policy and Philosophy and Ethics,3,8,Justin Pierce,CS,mackwhitney@example.org,Political Science and International Relations,Brown Mission
111,3372,Spring 2024,B,Principles of Business Administration and Management,4,11,Richard Campbell,Math,murphyedward@example.com,Business Administration and Management,Page Center
119,2691,Spring 2024,D,Contemporary Issues in Pharmacy and Pharmaceutical Sciences,3,18,Charles Moses,History,transusan@example.com,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
153,3059,Fall 2023,A,Classical Psychology and Behavioral Sciences,3,19,Catherine Taylor,Physics,elizabeth90@example.net,Psychology and Behavioral Sciences,Andrade Center
60,689,Spring 2024,A,Advanced Computer Science and Artificial Intelligence,4,5,Nicholas Barajas,History,deborah15@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
197,4912,Fall 2023,C,Ethics and Political Science and International Relations,2,8,Douglas Phillips,CS,iwilson@example.com,Political Science and International Relations,Brown Mission
165,2233,Spring 2024,F,Advanced Philosophy and Ethics,4,7,Howard Clark,Physics,jaime16@example.net,Philosophy and Ethics,Olsen Flats
164,3711,Spring 2024,B,Applications of Medicine and Biomedical Research,4,16,Carlos Smith,Math,jmartinez@example.com,Medicine and Biomedical Research,Brenda Prairie
75,611,Spring 2024,B,Research in Computer Science and Artificial Intelligence,4,5,Jerry Maxwell,CS,carterteresa@example.net,Mechanical and Aerospace Engineering,Malone Turnpike
94,2220,Fall 2023,C,Theories in Pharmacy and Pharmaceutical Sciences,1,18,Heather Spencer,CS,lisadougherty@example.com,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
107,3857,Spring 2024,F,Foundations of Business Administration and Management,1,11,Joe Powell,History,maxwellkelli@example.com,Business Administration and Management,Page Center
154,4062,Fall 2023,A,Policy and Environmental and Sustainability Studies,2,20,Amber Tucker,Physics,kurtgonzalez@example.com,Environmental and Sustainability Studies,Brittany Mission
141,3205,Spring 2024,D,Methods in Sociology and Anthropology,4,9,David Snyder,History,michael41@example.net,Sociology and Anthropology,Cynthia Square
156,2488,Spring 2024,A,Modern Mechanical and Aerospace Engineering,4,5,Alisha Stewart,Physics,david93@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
68,3485,Fall 2023,F,History of Mechanical and Aerospace Engineering,3,6,Mary Mcdonald,Math,martin67@example.org,History and Cultural Studies,Brittany Corners
147,4437,Spring 2024,C,Policy and Nursing and Public Health,3,17,Richard Figueroa,Physics,lharris@example.net,Nursing and Public Health,Campos Squares
97,386,Spring 2024,D,Principles of Sociology and Anthropology,1,10,Cindy Bryant,Math,jacoblee@example.com,Linguistics and Modern Languages,Dana Cove
107,1283,Spring 2024,D,Foundations of Business Administration and Management,1,11,Nicole Jensen,Physics,johnsonisaac@example.net,Business Administration and Management,Page Center
189,2512,Spring 2024,A,Fundamentals of Biological Sciences,2,2,Cody Mclaughlin,Math,leon12@example.net,Biological Sciences,Ramos Hills
81,4028,Spring 2024,F,Ethics and Computer Science and Artificial Intelligence,1,5,Nicole Becker,History,pmcgee@example.org,Mechanical and Aerospace Engineering,Malone Turnpike
195,1852,Spring 2024,D,Principles of Linguistics and Modern Languages,4,10,Erica Church,CS,camposbianca@example.com,Linguistics and Modern Languages,Dana Cove
200,1211,Fall 2023,A,Research in Mechanical and Aerospace Engineering,2,5,Richard Gomez,Physics,velasquezpatricia@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
198,1069,Fall 2023,C,Advanced Philosophy and Ethics,4,7,Joann Jordan,Physics,walter42@example.com,Philosophy and Ethics,Olsen Flats
42,3157,Spring 2024,D,Contemporary Issues in Sociology and Anthropology,4,10,Cassie Ayers,Math,rosskrystal@example.net,Linguistics and Modern Languages,Dana Cove
